SUMMARY METRICS,Fixed Workflow,Agent Loop,Delta
Pass Rate (%),90.0%,80.0%,-10.0%
p50 Latency (ms),931.6,3328.5,3.57x slower
Total Tokens,3466,41605,12.00x tokens
Cost per Claim ($),0.000032,0.000341,10.48x cost

Claim ID,System,Status,Claimed ($),Deductible ($),Disallowed ($),Payable ($),Passed,Tokens Used,Cost ($),Latency (ms),Steps Executed
CLM-2024-7001,Workflow,APPROVED,4800.0,1000.0,0.0,3800.0,True,385,0.000036,953.5,"get_claim(claim_id='CLM-2024-7001'); get_adjuster_notes(claim_id='CLM-2024-7001'); search_policy_exclusions(form='HO-0304', cause='sudden plumbing pipe rupture'); compute_payout(amount=4800.0, ded=1000.0, status='APPROVED', dis=0.0)"
CLM-2024-7002,Workflow,DENIED,12000.0,1500.0,12000.0,0.0,True,365,0.000034,821.0,"get_claim(claim_id='CLM-2024-7002'); get_adjuster_notes(claim_id='CLM-2024-7002'); search_policy_exclusions(form='HO-0304', cause='flood and surface water'); compute_payout(amount=12000.0, ded=1500.0, status='DENIED', dis=12000.0)"
CLM-2024-7003,Workflow,DENIED,8500.0,1000.0,8500.0,0.0,True,371,0.000035,1256.8,"get_claim(claim_id='CLM-2024-7003'); get_adjuster_notes(claim_id='CLM-2024-7003'); search_policy_exclusions(form='HO-0304', cause='gradual continuous seepage'); compute_payout(amount=8500.0, ded=1000.0, status='DENIED', dis=8500.0)"
CLM-2024-7004,Workflow,DENIED,5200.0,1000.0,5200.0,0.0,True,379,0.000036,909.7,"get_claim(claim_id='CLM-2024-7004'); get_adjuster_notes(claim_id='CLM-2024-7004'); search_policy_exclusions(form='HO-0308', cause='unscheduled equipment breakdown'); compute_payout(amount=5200.0, ded=1000.0, status='DENIED', dis=5200.0)"
CLM-2024-7005,Workflow,DENIED,9400.0,1500.0,9400.0,0.0,True,357,0.000034,862.7,"get_claim(claim_id='CLM-2024-7005'); get_adjuster_notes(claim_id='CLM-2024-7005'); search_policy_exclusions(form='HO-0304', cause='sewer line drain backup'); compute_payout(amount=9400.0, ded=1500.0, status='DENIED', dis=9400.0)"
CLM-2024-7006,Workflow,DENIED,6500.0,1000.0,6500.0,0.0,False,373,0.000035,873.0,"get_claim(claim_id='CLM-2024-7006'); get_adjuster_notes(claim_id='CLM-2024-7006'); search_policy_exclusions(form='HO-0308', cause='unscheduled equipment breakdown'); compute_payout(amount=6500.0, ded=1000.0, status='DENIED', dis=6500.0)"
CLM-2024-7007,Workflow,PARTIAL_APPROVAL,7500.0,1000.0,2000.0,4500.0,True,411,0.000038,971.4,"get_claim(claim_id='CLM-2024-7007'); get_adjuster_notes(claim_id='CLM-2024-7007'); search_policy_exclusions(form='HO-0304', cause='sudden plumbing pipe rupture'); compute_payout(amount=7500.0, ded=1000.0, status='PARTIAL_APPROVAL', dis=2000.0)"
CLM-2024-7008,Workflow,APPROVED,650.0,1000.0,0.0,0.0,True,382,0.000036,1002.7,"get_claim(claim_id='CLM-2024-7008'); get_adjuster_notes(claim_id='CLM-2024-7008'); search_policy_exclusions(form='HO-0304', cause='sudden plumbing pipe rupture'); compute_payout(amount=650.0, ded=1000.0, status='APPROVED', dis=0.0)"
CLM-2024-7009,Workflow,PENDING_INVESTIGATION,5800.0,1000.0,0.0,0.0,True,0,0.000000,0.3,get_claim(claim_id='CLM-2024-7009'); get_adjuster_notes(claim_id='CLM-2024-7009'); compute_payout(status='PENDING_INVESTIGATION')
CLM-2024-7010,Workflow,PARTIAL_APPROVAL,4000.0,500.0,1500.0,2000.0,True,443,0.000041,1030.1,"get_claim(claim_id='CLM-2024-7010'); get_adjuster_notes(claim_id='CLM-2024-7010'); search_policy_exclusions(form='HO-0309', cause='pair and set partial loss'); compute_payout(amount=4000.0, ded=500.0, status='PARTIAL_APPROVAL', dis=1500.0)"
